time,longitude,latitude,chla_fluorescence,raw_chla_fluorescence_frozen_test,raw_chla_fluorescence,chla_fluorescence_frozen_test
2018-02-22 22:19:44,13.9303,67.9989,0.165,1,0.55,1
2018-02-22 22:20:44,13.9341,67.9949,0.165,-1,0.55,-1
2018-02-22 22:21:44,13.9378,67.9909,0.165,-1,0.55,-1
2018-02-22 22:22:44,13.9417,67.987,0.165,-1,0.55,-1
2018-02-22 22:23:45,13.9454,67.983,0.15,1,0.5,1
2018-02-22 22:24:45,13.9491,67.979,0.165,1,0.55,1
2018-02-22 22:25:45,13.9529,67.975,0.15,1,0.5,1
2018-02-22 22:26:45,13.9567,67.9711,0.165,1,0.55,1
2018-02-22 22:27:45,13.9603,67.9671,0.15,1,0.5,1
2018-02-22 22:28:45,13.9639,67.9631,0.15,-1,0.5,-1
2018-02-22 22:29:45,13.9677,67.9592,0.15,-1,0.5,-1
2018-02-22 22:30:46,13.9715,67.9552,0.15,-1,0.5,-1
2018-02-22 22:31:46,13.9752,67.9512,0.15,-1,0.5,-1
2018-02-22 22:32:46,13.9789,67.9473,0.165,1,0.55,1
2018-02-22 22:33:46,13.9827,67.9433,0.15,1,0.5,1
2018-02-22 22:34:46,13.9864,67.9394,0.165,1,0.55,1
2018-02-22 22:35:46,13.9901,67.9355,0.165,-1,0.55,-1
2018-02-22 22:36:46,13.9939,67.9315,0.15,1,0.5,1
2018-02-22 22:37:46,13.9977,67.9276,0.15,-1,0.5,-1
2018-02-22 22:38:47,14.0013,67.9237,0.15,-1,0.5,-1
2018-02-22 22:39:47,14.0049,67.9198,0.15,-1,0.5,-1
2018-02-22 22:40:47,14.0086,67.9158,0.15,-1,0.5,-1
2018-02-22 22:41:47,14.0122,67.9119,0.15,-1,0.5,-1
2018-02-22 22:42:47,14.0159,67.908,0.15,-1,0.5,-1
2018-02-22 22:43:47,14.0196,67.9041,0.165,1,0.55,1
2018-02-22 22:44:48,14.0235,67.9001,0.165,-1,0.55,-1
2018-02-22 22:45:48,14.0273,67.8962,0.165,-1,0.55,-1
2018-02-22 22:46:48,14.0309,67.8922,0.165,-1,0.55,-1
2018-02-22 22:47:48,14.0346,67.8882,0.165,-1,0.55,-1
2018-02-22 22:48:48,14.0383,67.8843,0.165,-1,0.55,-1
2018-02-22 22:49:48,14.0419,67.8803,0.165,-1,0.55,-1
2018-02-22 22:50:48,14.0458,67.8762,0.165,-1,0.55,-1
2018-02-22 22:51:49,14.0499,67.8722,0.165,-1,0.55,-1
2018-02-22 22:52:49,14.0537,67.8681,0.15,1,0.5,1
2018-02-22 22:53:49,14.0574,67.8641,0.165,1,0.55,1
2018-02-22 22:54:49,14.0611,67.86,0.165,-1,0.55,-1
2018-02-22 22:55:49,14.065,67.8559,0.165,-1,0.55,-1
2018-02-22 22:56:49,14.0689,67.8517,0.15,1,0.5,1
2018-02-22 22:57:50,14.0728,67.8475,0.15,-1,0.5,-1
2018-02-22 22:58:50,14.0766,67.8434,0.15,-1,0.5,-1
2018-02-22 22:59:50,14.0805,67.8392,0.15,-1,0.5,-1
2018-02-22 23:00:50,14.0844,67.8351,0.15,-1,0.5,-1
2018-02-22 23:01:50,14.0883,67.8309,0.15,-1,0.5,-1
2018-02-22 23:02:50,14.0921,67.8268,0.15,-1,0.5,-1
2018-02-22 23:03:50,14.0959,67.8226,0.15,-1,0.5,-1
2018-02-22 23:04:51,14.0999,67.8184,0.15,-1,0.5,-1
2018-02-22 23:05:51,14.1038,67.8143,0.165,1,0.55,1
2018-02-22 23:06:51,14.1076,67.8102,0.15,1,0.5,1
2018-02-22 23:07:51,14.1115,67.8061,0.165,1,0.55,1
2018-02-22 23:08:51,14.1153,67.80199999999999,0.165,-1,0.55,-1
2018-02-22 23:09:51,14.1191,67.7978,0.165,-1,0.55,-1
2018-02-22 23:10:51,14.1231,67.7936,0.15,1,0.5,1
2018-02-22 23:11:52,14.127,67.7895,0.165,1,0.55,1
